num_cards,mcts_heads,player_0_heads,player_1_heads,player_2_heads,player_3_heads,winner
5,30,63,74,69,65,0
5,34,39,20,66,20,-1
5,42,25,68,39,58,1
5,60,67,48,27,70,3
5,52,33,58,70,38,1
5,48,41,71,43,52,1
5,25,47,80,65,34,0
5,34,75,58,74,27,4
5,23,38,24,40,68,0
5,17,29,42,67,40,0
5,42,73,55,53,37,4
5,27,55,35,73,62,0
5,19,42,56,45,70,0
5,50,74,69,46,54,3
5,18,42,22,67,47,0
5,34,72,31,47,20,4
5,10,29,19,31,74,0
5,45,71,20,50,40,2
5,65,61,69,20,72,3
5,6,10,69,26,13,0
5,11,33,67,42,43,0
5,66,45,33,55,39,2
5,26,67,54,38,52,0
5,27,43,57,50,67,0
5,33,68,54,34,43,0
5,36,28,31,66,50,1
5,52,73,23,61,49,2
5,12,47,17,66,48,0
5,55,51,57,62,70,1
5,42,48,39,68,55,2
5,45,19,28,77,19,-1
5,47,67,57,54,31,4
5,77,56,27,35,53,2
5,36,51,45,70,51,0
5,51,66,31,37,68,2
5,43,36,24,37,70,2
5,28,42,53,68,53,0
5,27,50,67,37,70,0
5,52,23,73,25,29,1
5,30,66,56,24,47,3
5,32,65,71,40,49,0
5,31,59,35,70,56,0
5,38,37,64,44,67,1
5,59,64,55,87,51,4
5,31,52,30,66,31,2
5,61,53,55,69,50,4
5,18,39,67,22,51,0
5,46,31,73,70,29,4
5,43,79,47,58,32,4
5,62,30,68,24,26,3
5,20,63,82,51,72,0
5,63,69,58,61,59,2
5,59,60,62,77,33,4
5,64,39,62,74,37,4
5,65,78,34,45,33,4
5,23,71,41,6,28,3
5,16,65,19,65,68,0
5,45,76,86,51,49,0
5,39,67,26,31,46,2
5,55,58,50,76,61,2
5,39,50,36,66,56,2
5,68,43,15,46,76,2
5,29,34,62,39,67,0
5,42,51,21,67,42,2
5,20,15,23,25,69,1
5,43,35,41,78,38,1
5,31,69,44,56,24,4
5,11,35,71,62,49,0
5,11,33,69,44,1,4
5,56,49,66,61,65,1
5,27,34,67,36,34,0
5,22,66,26,15,44,3
5,20,32,28,32,69,0
5,72,49,57,42,33,4
5,17,78,29,32,7,4
5,24,46,53,66,41,0
5,57,51,42,58,66,2
5,23,22,68,57,69,1
5,45,62,48,80,15,4
5,69,42,56,19,26,3
5,71,56,25,41,24,4
5,36,30,44,85,58,1
5,20,68,66,63,61,0
5,35,34,72,30,23,4
5,46,61,23,73,30,2
5,18,73,30,60,22,0
5,37,41,55,39,75,0
5,35,70,69,41,59,0
5,23,69,10,50,33,2
5,22,46,72,57,56,0
5,29,60,66,54,45,0
5,28,36,67,52,44,0
5,54,47,53,74,64,1
5,5,27,4,72,14,2
5,38,53,71,60,55,0
5,54,40,51,19,67,3
5,70,62,62,58,42,4
5,7,49,64,68,38,0
5,45,19,44,70,53,1
5,32,17,20,67,28,1
5,63,35,85,64,43,1
5,58,38,56,66,51,1
5,27,68,25,70,21,4
5,69,68,46,61,58,2
5,35,61,61,68,38,0
5,55,57,75,42,57,3
5,19,77,41,47,40,0
5,23,36,66,23,37,-1
5,39,12,31,80,57,1
5,41,62,84,70,47,0
5,21,30,75,28,17,4
5,40,45,34,59,71,2
5,73,32,64,68,38,1
5,34,53,40,52,72,0
5,33,67,46,23,8,4
5,73,49,28,53,51,2
5,32,67,52,59,60,0
5,19,68,31,33,23,0
5,54,39,47,30,71,3
5,60,17,48,70,38,1
5,33,75,49,23,44,3
5,40,69,23,11,26,3
5,39,66,50,50,43,0
5,32,33,24,11,72,3
5,48,42,41,57,67,2
5,31,54,37,66,29,4
5,31,48,71,35,35,0
5,24,70,58,51,56,0
5,14,15,37,80,33,0
5,3,68,69,55,40,0
5,61,56,22,77,33,2
5,52,32,71,46,53,1
5,29,45,45,76,50,0
5,17,50,49,69,63,0
5,23,47,27,43,67,0
5,28,68,6,55,19,2
5,27,29,50,67,62,0
5,37,38,35,74,42,2
5,24,78,20,31,28,2
5,56,43,40,71,64,2
5,57,47,40,71,65,2
5,40,22,36,87,37,1
5,34,66,59,51,46,0
5,48,48,39,65,69,2
5,50,65,34,69,57,2
5,14,59,19,33,77,0
5,36,53,47,67,28,4
5,44,40,25,66,41,2
5,31,42,65,32,68,0
5,34,50,50,61,73,0
5,49,52,51,29,68,3
5,48,71,51,49,38,4
5,9,69,69,56,29,0
5,52,39,14,66,50,2
5,46,38,95,34,44,3
5,24,59,54,18,83,3
5,24,27,36,78,42,0
5,70,64,51,26,44,3
5,74,41,26,55,28,2
5,51,49,82,49,62,-1
5,25,67,66,59,81,0
5,65,77,46,46,35,4
5,36,31,64,74,47,1
5,17,75,53,27,58,0
5,39,62,40,41,79,0
5,44,84,38,61,31,4
5,9,67,14,13,12,0
5,32,32,66,9,32,3
5,46,69,56,59,63,0
5,31,51,73,72,47,0
5,16,18,67,30,38,0
5,66,20,43,44,57,1
5,28,61,74,32,46,0
5,42,72,65,47,48,0
5,43,83,22,14,28,3
5,24,55,67,53,63,0
5,44,68,63,25,42,3
5,45,25,69,23,24,3
5,18,71,35,36,48,0
5,32,66,66,17,44,3
5,37,34,66,32,21,4
5,55,48,69,58,74,1
5,55,45,75,55,58,1
5,66,53,32,38,70,2
5,45,72,23,68,57,2
5,49,32,25,67,62,2
5,53,26,63,66,47,1
5,36,13,50,26,76,1
5,64,53,79,50,64,3
5,38,30,70,57,40,1
5,53,82,58,60,56,0
5,15,57,40,60,72,0
5,42,46,45,67,28,4
5,30,57,30,40,66,-1
5,55,23,53,35,70,1
5,29,34,70,19,44,3
5,52,66,40,14,33,3
5,44,70,41,21,23,3
5,14,76,27,38,50,0
5,50,51,40,66,13,4
5,47,44,77,46,53,1
5,50,45,48,35,79,3
5,42,41,74,55,69,1
5,34,29,51,42,71,1
5,22,42,28,66,28,0
5,44,21,69,54,38,1
5,35,39,64,69,57,0
5,47,71,45,46,34,4
5,47,53,67,23,59,3
5,7,65,60,74,66,0
5,51,41,47,49,71,1
5,70,40,55,63,57,1
5,8,36,23,47,70,0
5,51,71,30,50,66,2
5,30,40,43,70,41,0
5,29,23,20,19,70,3
5,35,34,22,77,63,2
5,26,33,67,47,33,0
5,35,42,29,13,66,3
5,63,49,30,45,66,2
5,59,61,72,41,66,3
5,53,35,37,67,63,1
5,10,2,22,45,66,1
5,32,26,40,69,29,1
5,52,48,70,31,59,3
5,57,29,49,77,49,1
5,50,38,54,22,70,3
5,37,71,34,58,66,2
5,19,59,43,75,68,0
5,27,27,8,71,61,2
5,49,63,67,42,62,3
5,6,27,13,66,43,0
5,27,63,30,50,74,0
5,31,75,51,39,75,0
5,61,77,71,63,40,4
5,15,66,74,52,19,0
5,16,31,69,48,58,0
5,45,74,64,50,33,4
5,66,61,45,52,72,2
5,36,61,34,55,67,2
5,70,25,49,61,64,1
5,33,39,69,43,24,4
5,74,38,47,37,39,3
5,18,49,75,61,40,0
5,16,30,37,55,72,0
5,71,39,76,65,63,1
5,10,46,71,52,16,0
5,47,40,41,38,66,3
5,36,66,45,32,47,3
5,6,47,30,14,75,0
5,34,16,58,48,72,1
5,28,67,45,24,58,3
5,69,30,32,55,20,4
5,30,34,70,63,6,4
5,57,80,49,74,65,2
5,54,32,66,46,55,1
5,37,66,53,48,44,0
5,21,40,47,8,66,3
5,29,81,43,55,54,0
5,43,57,45,31,66,3
5,55,53,29,70,51,2
5,31,60,75,29,54,3
5,30,38,46,40,73,0
5,66,57,29,50,57,2
5,26,45,68,40,61,0
5,54,39,36,67,38,2
5,30,20,49,76,38,1
5,30,41,28,57,68,2
5,56,80,42,47,41,4
5,4,67,38,57,43,0
5,68,45,49,64,50,1
5,70,53,70,34,42,3
5,47,26,66,49,42,1
