num_cards,mcts_heads,player_0_heads,player_1_heads,winner
5,76,45,31,2
5,26,79,64,0
5,15,70,58,0
5,15,43,66,0
5,25,25,77,-1
5,37,73,33,2
5,38,67,41,0
5,33,74,53,0
5,36,72,29,2
5,36,54,68,0
5,62,56,71,1
5,43,60,74,0
5,30,50,74,0
5,34,66,41,0
5,40,65,76,0
5,7,40,67,0
5,15,67,59,0
5,16,28,68,0
5,71,46,67,1
5,13,29,70,0
5,35,30,66,1
5,24,39,66,0
5,71,19,47,1
5,61,66,59,2
5,44,56,66,0
5,35,71,55,0
5,21,67,47,0
5,27,69,54,0
5,11,66,57,0
5,22,70,20,2
5,59,72,57,2
5,38,22,66,1
5,54,71,60,0
5,59,68,61,0
5,22,43,66,0
5,55,71,65,0
5,66,64,52,2
5,47,69,74,0
5,29,68,61,0
5,51,41,75,1
5,29,36,69,0
5,53,65,85,0
5,10,69,44,0
5,53,41,68,1
5,17,66,62,0
5,26,33,71,0
5,49,50,72,0
5,11,69,43,0
5,62,52,69,1
5,22,66,51,0
5,32,66,15,2
5,26,74,60,0
5,20,63,66,0
5,49,69,30,2
5,12,59,69,0
5,15,23,87,0
5,10,58,72,0
5,54,40,76,1
5,57,74,47,2
5,49,67,50,0
5,37,38,66,0
5,42,67,35,2
5,33,74,56,0
5,67,55,56,1
5,30,68,50,0
5,68,47,24,2
5,61,57,67,1
5,16,53,66,0
5,8,66,55,0
5,43,70,65,0
5,68,35,54,1
5,43,43,85,-1
5,24,42,66,0
5,40,68,54,0
5,50,80,62,0
5,78,29,61,1
5,43,66,54,0
5,36,68,49,0
5,37,59,71,0
5,6,69,22,0
5,28,55,71,0
5,68,17,51,1
5,17,53,68,0
5,37,63,66,0
5,24,68,66,0
5,18,68,58,0
5,37,71,59,0
5,21,45,66,0
5,16,56,71,0
5,45,66,30,2
5,9,22,75,0
5,54,28,77,1
5,21,66,60,0
5,39,54,74,0
5,53,43,67,1
5,26,40,72,0
5,39,55,67,0
5,27,70,65,0
