num_cards,mcts_heads,player_0_heads,player_1_heads,player_2_heads,winner
5,33,40,23,67,2
5,37,48,60,69,0
5,36,57,59,68,0
5,30,23,73,15,3
5,35,57,62,70,0
5,58,31,57,69,1
5,25,77,41,45,0
5,30,23,27,67,1
5,46,54,66,42,3
5,60,48,37,69,2
5,39,74,41,25,3
5,20,68,23,74,0
5,26,68,63,66,0
5,41,61,70,42,0
5,49,78,61,31,3
5,55,66,63,62,0
5,24,36,68,63,0
5,39,43,59,74,0
5,48,22,30,70,1
5,32,44,58,66,0
5,60,46,61,69,1
5,50,33,71,62,1
5,67,46,68,44,3
5,53,66,56,50,3
5,31,40,34,71,0
5,34,28,68,49,1
5,40,74,33,46,2
5,38,57,80,34,3
5,51,72,53,35,3
5,47,13,68,58,1
5,60,37,33,69,2
5,50,28,67,73,1
5,17,66,48,38,0
5,53,56,71,58,0
5,48,52,68,11,3
5,36,74,38,51,0
5,23,46,61,72,0
5,56,71,30,24,3
5,21,68,39,51,0
5,42,65,26,66,2
5,73,60,61,65,1
5,47,70,63,53,0
5,44,37,73,44,1
5,44,68,72,31,3
5,66,35,26,49,2
5,46,68,58,56,0
5,36,78,31,66,2
5,37,70,58,44,0
5,40,67,48,45,0
5,42,68,68,48,0
5,38,54,44,70,0
5,34,69,51,51,0
5,19,42,73,41,0
5,46,66,58,26,3
5,19,21,69,22,0
5,22,69,56,45,0
5,41,73,38,59,2
5,36,71,40,29,3
5,12,39,67,33,0
5,17,71,33,27,0
5,57,64,69,58,0
5,34,29,31,74,1
5,20,60,70,20,-1
5,40,71,47,54,0
5,20,68,61,50,0
5,35,77,46,34,3
5,18,40,67,20,0
5,32,62,58,71,0
5,8,73,28,57,0
5,62,58,43,66,2
5,50,41,29,67,2
5,17,28,72,52,0
5,63,60,71,45,3
5,54,76,62,64,0
5,40,58,76,49,0
5,14,26,34,67,0
5,28,50,74,61,0
5,54,63,68,61,0
5,49,55,44,66,2
5,15,46,41,71,0
5,40,41,61,69,0
5,11,75,63,41,0
5,32,69,45,56,0
5,29,48,27,75,2
5,48,61,70,41,3
5,33,76,49,52,0
5,50,56,47,67,2
5,74,63,49,49,-1
5,54,49,48,73,2
5,26,14,66,21,1
5,69,60,61,47,3
5,45,66,40,46,2
5,19,49,66,28,0
5,79,64,40,48,2
5,19,27,28,69,0
5,36,67,39,43,0
5,34,43,74,67,0
5,32,45,69,62,0
5,13,52,33,66,0
5,49,77,40,44,2
5,62,52,68,45,3
5,45,72,31,32,2
5,61,71,39,63,2
5,46,58,62,66,0
5,8,57,70,45,0
5,14,51,21,73,0
5,13,74,52,62,0
5,38,64,44,66,0
5,21,69,50,40,0
5,50,54,69,38,3
5,43,52,66,60,0
5,26,39,70,26,-1
5,38,39,66,22,3
5,38,66,20,16,3
5,52,68,72,54,0
5,26,71,60,14,3
5,28,66,41,46,0
5,10,39,41,70,0
5,62,70,54,39,3
5,30,72,66,48,0
5,66,27,63,47,1
5,46,80,32,54,2
5,40,36,68,21,3
5,30,27,52,67,1
5,76,42,46,52,1
5,77,59,44,63,2
5,42,74,22,47,2
5,21,82,57,45,0
5,60,63,40,67,2
